Conference,Division,Name,Playoffs,SeasonType,Team,Season End,Game,Points,Corsi Close,Fenwick Close,SOG Close,G% Down 2,G For Down 2,G Agnst Down 2,G% Down 1,G For Down 1,G Agnst Down 1,G% Tied,G For Tied,G Agnst Tied,G% Up 1,G For Up 1,G Agnst Up 1,G% Up 2,G For Up 2,G Agnst Up 2,S% Down 2,S For Down 2,S Agnst Down 2,S% Down 1,S For Down 1,S Agnst Down 1,S% Tied,S For Tied,S Agnst Tied,S% Up 1,S For Up 1,S Agnst Up 1,S% Up 2,S For Up 2,S Agnst Up 2,M% Down 2,M For Down 2,M Agnst Down 2,M% Down 1,M For Down 1,M Agnst Down 1,M% Tied,M For Tied,M Agnst Tied,M% Up 1,M For Up 1,M Agnst Up 1,M% Up 2,M For Up 2,M Agnst Up 2,B% Down 2,B For Down 2,B Agnst Down 2,B% Down 1,B For Down 1,B Agnst Down 1,B% Tied,B For Tied,B Agnst Tied,B% Up 1,B For Up 1,B Agnst Up 1,B% Up 2,B For Up 2,B Agnst Up 2,Goal Differential Close,Fenwick Close Differential
0,2,13,0,0,4,2017,20,20,53.33,51.48,52.28,50,1,1,72.22,13,5,45.24,19,23,44.44,8,10,40,2,3,64.71,11,6,50.53,96,94,44.77,201,248,46.47,79,91,50,42,42,60,6,4,60.26,47,31,52.22,106,97,34.67,26,49,35,14,26,50,5,5,62.2,51,31,53.71,123,106,37.65,32,53,42.5,17,23,1,-55
0,2,2,1,0,5,2017,20,26,52.02,51.79,51.96,55.56,5,4,47.06,8,9,50,14,14,50,7,7,75,3,1,66.67,42,21,55.37,98,79,50.12,213,212,46.04,93,109,42.86,30,40,76,19,6,55.32,26,21,42.37,75,102,36.23,25,44,42.31,11,15,64.86,24,13,63.16,60,35,49.1,109,113,35.63,31,56,38.1,8,13,2,-37
1,3,11,1,0,6,2017,20,17,49.81,48.82,51.16,60,3,2,53.33,8,7,51.85,14,13,56.25,9,7,75,9,3,59.26,32,22,46.77,58,66,49.42,169,173,42.57,63,85,47.13,41,46,64,16,9,55.88,38,30,45.65,63,75,47.76,32,35,52.17,24,22,44.83,13,16,57.33,43,32,49.74,94,95,50,43,43,46.67,21,24,11,-41
1,1,1,1,0,7,2017,20,28,51.65,50.76,48.19,62.5,5,3,36.36,4,7,62.96,17,10,59.09,13,9,50,6,6,63.79,37,21,62.87,127,75,48.86,171,179,41.36,91,129,37.37,37,62,57.89,11,8,64.94,50,27,51.64,63,59,43.68,38,49,44,11,14,61.29,19,12,50,41,41,44.98,94,115,44.85,61,75,34.78,16,30,10,22
1,1,0,0,0,8,2017,20,19,48.13,48.83,47.67,53.85,7,6,39.13,9,14,38.71,12,19,35.71,5,9,0,0,3,56.16,82,64,48.67,128,135,47.98,119,129,44.95,49,60,41.94,13,18,38.46,15,24,56.86,58,44,54.2,71,60,39.58,19,29,50,7,7,67.53,52,25,58.94,89,62,54.42,80,67,42.5,17,23,45,9,11,-18,-13
1,1,28,0,0,9,2017,20,21,48.13,49.02,48.89,10,1,9,46.15,6,7,51.72,15,14,53.85,7,6,42.86,3,4,56.67,51,39,55.88,76,60,54.32,176,148,42.93,82,109,41.86,18,25,61.22,30,19,54.1,33,28,50,65,65,35.96,32,57,21.43,3,11,43.75,28,36,55.7,44,35,51.89,96,89,44.93,62,76,26.92,7,19,-8,-3
0,0,24,0,0,10,2017,20,19,45.97,45.6,46.21,60,6,4,40,6,9,47.06,16,18,25,4,12,33.33,1,2,49.09,54,56,48.7,94,99,49.69,161,163,46.27,93,108,54.84,17,14,64,32,18,51.85,42,39,52.63,80,72,36.99,27,46,20,2,8,68.09,32,15,51.81,43,40,48.77,79,83,36.56,34,59,50,6,6,-12,-30
1,3,19,1,0,11,2017,20,23,51.75,52.49,52.25,66.67,4,2,47.37,9,10,62.07,18,11,52.94,9,8,50,6,6,53.33,24,21,54.36,81,68,52.06,139,128,50.74,138,134,41.67,40,56,47.83,11,12,56.72,38,29,53.57,60,52,43.14,44,58,55.32,26,21,53.33,8,7,51.92,54,50,49.02,75,78,35.71,55,99,33.33,26,52,9,31
0,0,20,0,0,12,2017,20,21,52.78,52.59,50.89,14.29,2,12,46.67,7,8,36.36,12,21,33.33,3,6,100,3,0,55.42,46,37,61.98,119,73,47.66,224,246,45.05,41,50,49.02,25,26,52.63,20,18,56.58,43,33,44.51,73,91,44.83,13,16,52.94,9,8,53.33,24,21,55.71,39,31,48.55,84,89,46.88,15,17,28.57,2,5,-20,4
1,3,16,0,0,13,2017,20,21,53.04,52.95,54.73,37.5,3,5,52.94,9,8,29.63,8,19,50,5,5,50,1,1,68.33,82,38,52.49,95,86,54.36,218,183,45.78,38,45,37.21,16,27,55.56,35,28,55.56,50,40,52.83,112,100,39.47,15,23,33.33,3,6,66.25,53,27,52.59,61,55,56.81,121,92,56.41,22,17,38.46,5,8,-12,51
1,1,29,1,0,14,2017,20,24,51.71,51.95,50.86,54.55,6,5,33.33,6,12,53.13,17,15,55.56,10,8,14.29,1,6,74.74,71,24,56.42,101,78,56.38,168,130,48.45,78,83,60.76,48,31,58.54,24,17,55.56,40,32,54.24,64,54,48.44,31,33,66.67,20,10,72.97,27,10,55.88,57,45,56.38,84,65,51.85,42,39,39.29,11,17,-6,72
0,0,5,1,0,15,2017,20,30,48.92,48.39,47.64,62.5,5,3,43.75,7,9,58.62,17,12,58.33,7,5,100,8,0,59.38,38,26,51.03,148,142,54.39,192,161,53.99,88,75,47.54,29,32,47.83,11,12,58.93,66,46,47.1,73,82,49.15,29,30,64,16,9,58.06,18,13,54.61,77,64,51.28,100,95,39.76,33,50,63.16,24,14,15,60
0,2,9,0,0,16,2017,20,24,48.34,48.83,49.04,50,4,4,37.5,9,15,33.33,9,18,40,2,3,33.33,1,2,55.5,106,85,50.88,87,84,46.95,177,200,41.67,30,42,33.33,1,2,52.56,41,37,57.75,41,30,46.95,77,87,53.57,15,13,50,1,1,57.75,41,30,61.54,40,25,46.59,82,94,55.56,10,8,100,2,0,-17,-29
1,1,22,1,0,17,2017,20,23,47.77,47.18,47.52,81.82,9,2,35.29,6,11,53.85,14,12,61.54,8,5,62.5,5,3,61.22,60,38,55.63,79,63,45.62,177,211,49.17,89,92,51.52,34,32,58.14,25,18,56.34,40,31,47.59,89,98,47.06,32,36,58.14,25,18,61.02,36,23,60.49,49,32,52.22,94,86,43,43,57,57.41,31,23,9,-25
0,2,14,0,0,18,2017,20,16,44.78,45.43,47.49,37.5,3,5,43.75,7,9,59.38,19,13,35,7,13,75,3,1,49.28,34,35,62.89,61,36,43.73,164,211,48.53,99,105,31.48,17,37,61.29,19,12,55.26,21,17,42.68,70,94,30.38,24,55,51.85,14,13,79.41,27,7,66.04,35,18,46.97,93,105,45.28,48,58,41.67,10,14,-2,-79
0,2,23,1,0,19,2017,20,29,51.42,52.86,51.81,20,1,4,52.94,9,8,46.43,13,15,50,6,6,62.5,5,3,43.9,36,46,61.21,71,45,49.9,241,242,42.21,65,89,40.82,20,29,50,19,19,56.52,39,30,49.32,108,111,54.1,33,28,32,8,17,59.09,26,18,61.64,45,28,42.03,87,120,40,32,48,33.33,9,18,-2,12
0,0,26,1,0,20,2017,20,25,46.25,47.92,47.3,66.67,2,1,62.5,10,6,44.44,12,15,54.55,6,5,80,4,1,61.54,24,15,53.05,113,100,48.23,218,234,52.17,60,55,52.11,37,34,38.89,7,11,48.78,40,42,49.5,100,102,51.92,27,25,34.38,11,21,36.84,7,12,52.89,64,57,50,131,131,46.15,36,42,40,16,24,6,0
0,2,12,0,0,21,2017,20,21,51.58,52.02,51.95,66.67,4,2,57.14,8,6,57.14,16,12,63.64,7,4,87.5,7,1,50,7,7,50.59,86,84,54.09,251,213,55.95,47,37,44.29,31,39,50,2,2,53.13,34,30,56.73,97,74,42.11,16,22,38.89,14,22,33.33,3,6,56,42,33,47.89,125,136,60.87,28,18,30.91,17,38,17,71
0,2,21,1,0,22,2017,20,27,51.47,52.93,51.63,0,0,5,75,9,3,56.25,18,14,50,12,12,50,4,4,45.45,20,24,52.89,64,57,50.23,220,218,43.03,105,139,39.68,25,38,76.47,13,4,52.27,23,21,50,82,82,48,48,52,37.04,10,17,66.67,18,9,51.52,34,32,52.05,114,105,36.07,44,78,44.44,12,15,5,-27
1,3,27,1,0,23,2017,20,23,53.39,54.15,55.02,40,4,6,41.67,5,7,51.85,14,13,55.56,10,8,25,1,3,55.56,25,20,55.47,142,114,50.68,111,108,40.94,52,75,51.67,62,58,53.33,16,14,59.13,68,47,55.24,58,47,62.5,35,21,58.46,38,27,52.5,21,19,49.17,89,92,48.39,75,80,52.83,56,50,43.68,38,49,-3,54
1,1,3,1,0,24,2017,20,25,52.09,53.07,53.45,50,2,2,66.67,6,3,70.97,22,9,56.52,13,10,54.55,6,5,50,11,11,49.24,65,67,52.12,172,158,48.36,118,126,41.32,69,98,66.67,4,2,60.87,28,18,40.8,51,74,40,40,60,41.03,32,46,57.89,11,8,54.55,30,25,50,88,88,52.21,71,65,25,23,69,20,-29
0,0,17,0,0,25,2017,20,25,50.86,51.38,51.73,40,2,3,61.11,11,7,44.44,16,20,46.15,6,7,87.5,7,1,50,25,25,58.96,79,55,48.41,259,276,40.38,42,62,31.67,19,41,80,12,3,47.54,29,32,54.27,127,107,48.72,19,20,26.67,8,22,62.5,15,9,74.6,47,16,52.42,130,118,50,32,32,12.5,3,21,4,3
0,0,18,1,0,26,2017,20,20,50.79,49.44,48.38,0,0,5,75,9,3,51.72,15,14,70,14,6,38.46,5,8,51.02,25,24,50.43,58,57,45.92,163,192,41.63,87,122,42.99,46,61,51.52,17,16,65.08,41,22,53.37,111,97,52.33,45,41,42.59,23,31,82.61,19,4,59.26,32,22,55.77,116,92,45.68,37,44,46.94,23,26,7,-26
1,3,6,0,0,27,2017,20,18,49.34,49.02,49.46,44.44,4,5,35,7,13,28.57,8,20,50,5,5,60,3,2,48.55,84,89,53.85,112,96,44.76,158,195,32.94,28,57,31.11,14,31,46.15,36,42,58.62,34,24,46.03,58,68,26.32,10,28,25,5,15,56.7,55,42,65.69,67,35,48.67,73,77,34.78,16,30,24,6,19,-18,-68
1,1,15,0,0,28,2017,20,20,47.51,46.67,46.07,40,2,3,71.43,10,4,50,17,17,47.37,9,10,50,5,5,46.55,27,31,57.31,98,73,50.58,174,170,44.95,89,109,39.66,23,35,64.71,11,6,56.45,35,27,50.33,77,76,48.81,41,43,43.75,7,9,50,11,11,58.82,40,28,43.02,74,98,39,39,61,26.92,7,19,4,16
0,2,7,1,0,29,2017,20,28,51.77,50.87,51.26,33.33,2,4,42.86,3,4,65.22,15,8,50,10,10,40,4,6,64.91,37,20,67.24,39,19,53.92,213,182,49.07,105,109,44.14,49,62,53.85,14,12,61.29,19,12,53.76,93,80,45.05,41,50,35,14,26,67.74,21,10,42.5,17,23,57.01,122,92,46.6,48,55,39.22,20,31,2,58
