Conference,Division,Name,Playoffs,SeasonType,Team,Season End,Game,Points,Corsi Close,Fenwick Close,SOG Close,G% Down 2,G For Down 2,G Agnst Down 2,G% Down 1,G For Down 1,G Agnst Down 1,G% Tied,G For Tied,G Agnst Tied,G% Up 1,G For Up 1,G Agnst Up 1,G% Up 2,G For Up 2,G Agnst Up 2,S% Down 2,S For Down 2,S Agnst Down 2,S% Down 1,S For Down 1,S Agnst Down 1,S% Tied,S For Tied,S Agnst Tied,S% Up 1,S For Up 1,S Agnst Up 1,S% Up 2,S For Up 2,S Agnst Up 2,M% Down 2,M For Down 2,M Agnst Down 2,M% Down 1,M For Down 1,M Agnst Down 1,M% Tied,M For Tied,M Agnst Tied,M% Up 1,M For Up 1,M Agnst Up 1,M% Up 2,M For Up 2,M Agnst Up 2,B% Down 2,B For Down 2,B Agnst Down 2,B% Down 1,B For Down 1,B Agnst Down 1,B% Tied,B For Tied,B Agnst Tied,B% Up 1,B For Up 1,B Agnst Up 1,B% Up 2,B For Up 2,B Agnst Up 2,Goal Differential Close,Fenwick Close Differential
0,2,23,1,0,19,2016,60,74,48.46,48.95,48.86,53.85,14,12,46.81,22,25,54.55,54,45,44.44,20,25,45.83,11,13,57.51,111,82,51.73,224,209,47.53,529,584,43.62,260,336,39.6,80,122,60.78,62,40,50.98,78,75,51.03,273,262,42.39,131,178,43.37,36,47,60.74,82,53,59,118,82,46.12,297,347,36.94,133,227,33.9,40,78,1,-149
0,0,26,0,0,20,2016,60,62,46.18,45.09,44.55,60.53,23,15,35.94,23,41,47.5,38,42,51.43,18,17,55.56,10,8,54.11,217,184,50.07,335,334,45.22,464,562,42.37,136,185,37.59,50,83,60.74,99,64,49.82,142,143,46.81,191,217,50.36,70,69,28.33,17,43,63.21,134,78,57.59,201,148,48.84,273,286,40.98,75,108,31.33,26,57,-11,-172
0,2,12,1,0,21,2016,60,65,50.06,49.83,48.36,42.86,6,8,63.41,26,15,57.32,47,35,52.63,30,27,41.67,10,14,53.33,112,98,57.63,268,197,49.01,567,590,48.05,246,266,36.12,82,145,48.68,37,39,61.03,130,83,52.87,258,230,53.33,104,91,47.13,41,46,59.84,76,51,62.01,191,117,49.63,338,343,39.93,115,173,33.33,44,88,20,116
0,2,21,1,0,22,2016,60,70,52.46,52.37,52.09,52,13,12,52.27,23,21,54.22,45,38,59.18,29,20,66.67,22,11,67.24,156,76,54.86,384,316,52.88,523,466,54.48,243,203,51,153,147,67.74,63,30,62.06,157,96,54.64,212,176,50.3,84,83,43.43,43,56,65.77,73,38,61.34,192,121,55.03,279,228,47.35,116,129,40,64,96,30,263
1,3,27,1,0,23,2016,60,70,51.83,52.97,52.57,57.14,12,9,46.81,22,25,52.27,46,42,47.62,20,22,61.9,13,8,63.16,120,70,57.86,254,185,54.33,583,490,47.65,253,278,44.34,94,118,67.11,51,25,59.15,126,87,56.86,257,195,52.19,119,109,45.71,48,57,69.35,86,38,55.47,147,118,51.29,318,302,43.12,141,186,34.67,52,98,7,248
1,1,3,1,0,24,2016,60,77,50.16,50.59,50.55,38.89,7,11,51.28,20,19,50,40,40,58.7,27,19,56.67,17,13,66.16,131,67,49.12,195,202,51.77,629,586,45.82,219,259,46.77,123,140,71.28,67,27,51.22,84,80,51.83,241,224,45.2,80,97,45.38,59,71,67.35,66,32,56.74,122,93,50.9,312,301,39.81,84,127,46.15,78,91,9,0
0,0,17,1,0,25,2016,60,72,51.49,50.97,50.59,33.33,6,12,47.06,16,18,58.7,54,38,49.12,28,29,60,18,12,58.57,82,58,57.24,245,183,52.6,475,428,44.85,309,380,43.64,96,124,53.16,42,37,48.5,97,103,54.73,214,177,48.16,131,141,41.11,37,53,64.71,66,36,60.66,128,83,58.61,269,190,42.4,145,197,42.71,41,55,13,59
0,0,18,0,0,26,2016,60,52,51.21,49.75,49.31,47.06,16,18,48.08,25,27,39.51,32,49,48.72,19,20,57.14,12,9,56.12,156,122,53.32,337,295,48.55,518,549,46.63,187,214,45.39,64,77,56.3,67,52,54.92,162,133,52.34,280,255,44.38,79,99,49.32,36,37,67.38,95,46,68.22,234,109,54.43,301,252,55.28,110,89,40,26,39,-19,18
1,3,6,0,0,27,2016,60,60,46.81,47.42,47.71,18.52,5,22,52.08,25,23,45.65,42,50,38.46,15,24,12.5,1,7,52.51,115,104,49.91,272,273,46.85,551,625,38.39,200,321,36,54,96,52.43,54,49,50.24,104,103,41.96,201,278,40.4,80,118,37.25,19,32,73.53,75,27,57.6,163,120,48.04,257,278,45.06,114,139,43.75,28,36,-38,-310
1,1,15,0,0,28,2016,60,56,51.11,50.68,50.54,44,11,14,50,24,24,39.29,33,51,61.54,24,15,61.9,13,8,62.04,170,104,55.78,304,241,49.75,498,503,48.64,197,208,50.21,118,117,60.16,74,49,46.31,113,131,53.18,209,184,50.28,89,88,45.56,41,49,65.56,99,52,59.83,210,141,48.56,253,268,41.46,85,120,33.93,38,74,-7,55
0,2,7,1,0,29,2016,60,94,50.16,50.23,50.22,42.31,11,15,64.1,25,14,51.11,46,44,66.67,30,15,46.67,14,16,55.63,89,71,56.02,242,190,50,533,533,47.68,257,282,48.52,131,139,51.69,46,43,46.55,81,93,51.47,227,214,46.45,98,113,46.48,66,76,61.33,46,29,57.32,137,102,51.67,324,303,36.64,122,211,37.67,55,91,22,13
1,3,10,1,0,0,2016,40,41,54.29,53.81,53.57,45.45,5,6,61.11,11,7,59.26,32,22,57.89,22,16,61.9,13,8,62.34,48,29,60.89,123,79,53.41,360,314,47.71,156,171,42.79,92,123,58.06,18,13,62.24,61,37,55.63,168,134,46.26,68,79,49.04,51,53,75,27,9,54.88,45,37,52.02,193,178,43.75,91,117,31.45,39,85,24,122
1,3,8,0,0,1,2016,40,44,46.06,44.95,44.02,50,8,8,19.05,4,17,45.1,23,28,48,12,13,55.56,5,4,54.02,121,103,50.58,174,170,46.67,301,344,38.79,90,142,41.49,39,55,64.75,79,43,54.11,79,67,42.2,119,163,34.65,44,83,30.19,16,37,62.69,84,50,50.5,101,99,42.73,144,193,45.22,71,86,44,22,28,-18,-162
0,0,4,0,0,2,2016,40,47,50.07,51.33,52.51,35.71,5,9,50,14,14,61.02,36,23,41.67,15,21,68.75,11,5,57.63,102,75,58.94,155,108,49.59,364,370,44.9,207,254,36.23,50,88,48.68,37,39,50,59,59,43.77,130,167,43.68,76,98,43.94,29,37,65.75,48,25,58.21,78,56,55.11,178,145,42.52,91,123,39.19,29,45,9,-65
0,0,25,0,0,3,2016,40,34,46.77,46.73,48.65,38.89,7,11,50,14,14,46.43,26,30,50,11,11,66.67,12,6,48.57,51,54,49.86,181,182,49.93,374,375,42.4,120,163,43.93,76,97,46.81,22,25,46.39,77,89,48.09,164,177,43.08,56,74,43.08,28,37,52.94,27,24,51.38,93,88,47.72,178,195,44.52,69,86,43.04,34,45,-2,-88
0,2,13,0,0,4,2016,40,39,53.14,52.74,53.05,33.33,3,6,52.94,18,16,45.31,29,35,39.29,11,17,50,9,9,61.54,56,35,55.63,173,138,49.76,408,412,43.88,147,188,38.1,40,65,52.5,21,19,50,66,66,44.69,160,198,47.89,68,74,41.03,16,23,46.67,21,24,55.63,84,67,54.86,203,167,48.62,88,93,40.43,19,28,-13,-54
0,2,2,0,0,5,2016,40,33,47.64,48.8,50.26,50,9,9,55.88,19,15,43.1,25,33,61.29,19,12,58.82,10,7,56.8,71,54,52.93,244,217,49.79,351,354,40.46,106,156,36.5,50,87,48.98,24,25,45.57,72,86,49.65,140,142,51.56,66,62,47.37,27,30,58.43,52,37,55.3,146,118,46.56,176,202,40.74,66,96,31.94,23,49,6,-38
1,3,11,0,0,6,2016,40,40,47.57,48.77,50.04,43.75,7,9,37.93,11,18,45.45,25,30,40,14,21,65,13,7,52.67,79,71,59.78,220,148,46.7,248,283,45.58,170,203,45.39,69,83,51.43,36,34,55.33,83,67,39.68,100,152,38.24,52,84,38.81,26,41,65,39,21,57.08,121,91,44.71,148,183,45.89,106,125,36.56,34,59,-15,-64
1,1,1,1,0,7,2016,40,50,52.25,50.65,50.61,12.5,1,7,44.44,8,10,62.75,32,19,48.28,14,15,63.16,12,7,54.43,43,36,52.21,59,54,50.9,340,328,46.9,212,240,41.36,79,112,68.29,28,13,55.77,29,23,49.28,136,140,49.39,81,83,33.82,23,45,71.7,38,15,58.21,39,28,49.73,182,184,39.3,90,139,40.82,40,58,9,-11
1,1,0,0,0,8,2016,40,41,44.83,46.84,47.47,42.86,9,12,45.71,16,19,40,24,36,38.1,8,13,41.67,5,7,56,98,77,49.56,170,173,48.54,348,369,36.76,125,215,37.43,64,107,51.39,37,35,44.22,65,82,43.48,110,143,31.54,47,102,37.84,28,46,53.33,48,42,49.19,91,94,44.02,162,206,32.26,60,126,27.27,21,56,-25,-219
1,1,28,1,0,9,2016,40,60,53.54,53.19,53.03,42.86,6,8,67.65,23,11,44.93,31,38,58.62,17,12,41.67,5,7,62.94,90,53,57.47,200,148,52.77,400,358,47.01,118,133,49.64,69,70,63.51,47,27,57.59,110,81,54.84,187,154,42.03,58,80,54.55,48,40,63.95,55,31,57.14,128,96,51.4,221,209,46.06,76,89,28.17,20,51,6,119
0,0,24,1,0,10,2016,40,47,49.94,48.48,47.97,43.48,10,13,41.94,13,18,42.11,24,33,61.54,16,10,42.86,6,8,53.85,91,78,55.29,209,169,52.61,393,354,48.16,118,127,42.61,49,66,62.67,47,28,56.21,86,67,52.78,171,153,57.26,67,50,43.18,19,25,60.24,50,33,63.37,109,63,59.3,169,116,47.93,58,63,34.85,23,43,-13,124
1,3,19,0,0,11,2016,40,35,47.42,46.77,47.94,55,11,9,40.54,15,22,43.64,24,31,52.17,12,11,54.55,6,5,54.97,94,77,55.83,225,178,46.9,310,351,45.64,110,131,38.46,30,48,46.34,38,44,56.48,109,84,47.89,136,148,44.21,42,53,35,14,26,62.28,71,43,60.25,144,95,51.05,195,187,41.48,56,79,39.22,20,31,-10,-13
0,0,20,1,0,12,2016,40,52,48.89,48.97,48.45,47.06,8,9,37.5,9,15,55.32,26,21,61.29,19,12,67.86,19,9,57.14,88,66,57.84,166,121,51.54,285,268,48.32,158,169,42.21,65,89,47.73,21,23,57.27,63,47,47.95,117,127,43.8,60,77,46.43,26,30,57.89,33,24,52.21,59,54,51.32,117,111,41.54,54,76,42.67,32,43,15,40
1,3,16,1,0,13,2016,40,54,56.92,56.88,55.16,33.33,3,6,64,16,9,51.56,33,31,56.25,18,14,40,8,12,56.14,32,25,62.43,216,130,55.12,393,320,52.69,176,158,47.29,61,68,60.87,14,9,65.64,107,56,59.27,211,145,51.98,92,85,52.78,38,34,71.11,32,13,66.83,139,69,57.99,225,163,47.4,82,91,42.47,31,42,6,301
1,1,29,1,0,14,2016,40,50,48.64,48.87,49.33,47.06,8,9,39.13,9,14,51.72,30,28,40.74,11,16,50,6,6,61.88,112,69,55.69,186,148,49.77,322,325,43.01,123,163,35,49,91,44.44,28,35,52.53,83,75,48.91,135,141,36.51,46,80,28.57,20,50,69.23,63,28,54.44,98,82,45.17,159,193,37.1,69,117,18.82,16,69,-9,-37
